epoch,accuracy,learning_rate,loss,top_2_accuracy,top_3_accuracy,val_accuracy,val_loss,val_top_2_accuracy,val_top_3_accuracy
0,0.2255784124135971,0.0010000000474974513,3.252772569656372,0.41018638014793396,0.5801734924316406,0.30112358927726746,2.775571823120117,0.54007488489151,0.7812734246253967
1,0.24614395201206207,0.0010000000474974513,2.9234790802001953,0.44842544198036194,0.6176092624664307,0.5191011428833008,2.1604385375976562,0.7842696905136108,0.9026217460632324
2,0.2601221203804016,0.0010000000474974513,2.6514673233032227,0.46690231561660767,0.6431555151939392,0.4232209622859955,2.1189563274383545,0.7086142301559448,0.8749063611030579
3,0.274260938167572,0.0010000000474974513,2.4567222595214844,0.48377248644828796,0.6560090184211731,0.38651683926582336,2.078225612640381,0.6464419364929199,0.8494381904602051
4,0.2840617001056671,0.0010000000474974513,2.312209129333496,0.49758997559547424,0.6656491160392761,0.4756554365158081,1.7717429399490356,0.7647939920425415,0.890636682510376
5,0.2969151735305786,0.0005000000237487257,2.1724815368652344,0.5250642895698547,0.6839653253555298,0.5670412182807922,1.5319693088531494,0.7857677936553955,0.901123583316803
6,0.32503214478492737,0.0005000000237487257,2.100327968597412,0.5491645336151123,0.7062981724739075,0.6232209801673889,1.4393812417984009,0.8359550833702087,0.9258427023887634
7,0.3067159354686737,0.0005000000237487257,2.0498273372650146,0.5343830585479736,0.6977827548980713,0.6404494643211365,1.3780168294906616,0.8397004008293152,0.9393258690834045
8,0.3210154175758362,0.0005000000237487257,1.9763150215148926,0.5334190130233765,0.7030848264694214,0.6014981269836426,1.3491088151931763,0.8419475555419922,0.9265917539596558
9,0.32953083515167236,0.0005000000237487257,1.9792718887329102,0.5366324186325073,0.6865360140800476,0.6666666865348816,1.2822736501693726,0.8554307222366333,0.9198501706123352
10,0.3165166974067688,0.0005000000237487257,1.9561481475830078,0.5210475325584412,0.6744858622550964,0.626217246055603,1.3262423276901245,0.8247190713882446,0.9123595356941223
11,0.322140097618103,0.0005000000237487257,1.924027442932129,0.5355077385902405,0.6923200488090515,0.6247190833091736,1.262253761291504,0.856928825378418,0.9393258690834045
12,0.32696014642715454,0.0005000000237487257,1.915246844291687,0.5388817191123962,0.6891067028045654,0.6314606666564941,1.253684163093567,0.8516854047775269,0.9288389682769775
13,0.3338688910007477,0.0002500000118743628,1.8609033823013306,0.5467544794082642,0.7106362581253052,0.6696628928184509,1.1757354736328125,0.8876404762268066,0.9468165040016174
14,0.3467223644256592,0.0002500000118743628,1.835486888885498,0.561053991317749,0.7046915292739868,0.6801497936248779,1.1888774633407593,0.8666666746139526,0.9265917539596558
15,0.3497750759124756,0.0002500000118743628,1.8077083826065063,0.5642673373222351,0.7162596583366394,0.6981273293495178,1.138301134109497,0.9003745317459106,0.9490636587142944
16,0.35700514912605286,0.0002500000118743628,1.7785367965698242,0.5739074349403381,0.7175449728965759,0.6539325714111328,1.1645795106887817,0.8599250912666321,0.9355805516242981
17,0.34463366866111755,0.0002500000118743628,1.7748421430587769,0.5669987201690674,0.7152956128120422,0.6651685237884521,1.1326234340667725,0.8614231944084167,0.9483146071434021
18,0.3537917733192444,0.0002500000118743628,1.7721552848815918,0.5655527114868164,0.7194730043411255,0.6741573214530945,1.097771167755127,0.8853932619094849,0.943071186542511
19,0.3666452467441559,0.0001250000059371814,1.7275282144546509,0.5920630097389221,0.7357004880905151,0.6988763809204102,1.0597518682479858,0.8704119920730591,0.932584285736084
20,0.36809125542640686,0.0001250000059371814,1.717315912246704,0.5829048752784729,0.725739061832428,0.693632960319519,1.0406404733657837,0.8868913650512695,0.9528089761734009
21,0.35877248644828796,0.0001250000059371814,1.7237235307693481,0.5774421691894531,0.7312018275260925,0.6988763809204102,1.0410860776901245,0.8816479444503784,0.9535580277442932
22,0.3706619441509247,0.0001250000059371814,1.714432716369629,0.5857968926429749,0.7265424132347107,0.6973782777786255,1.0431543588638306,0.8749063611030579,0.9295880198478699
23,0.3647172152996063,6.25000029685907e-05,1.702712059020996,0.5790488719940186,0.7218830585479736,0.7086142301559448,0.9985760450363159,0.888389527797699,0.9535580277442932
24,0.37965938448905945,6.25000029685907e-05,1.6985007524490356,0.5906169414520264,0.7347365021705627,0.7123595476150513,0.9918125867843628,0.8816479444503784,0.9498127102851868
